français;mahorais
Expérience;Ma’anrifa
Tabac;Tibacou
Poule;Kouhou
Coq;Koukouilli
Juge;Hakim
Philosophie;Falsafa
Ecole Coranique;Choni
Ecole Coranique;Madrassa
Marin;Bahariya
Orphelin;Yatima
Liberté;Unafasi
Tablier;Bao
Ardoise coranique;Bao la shoni
Tourterelle;Chkourou
Pigeon;Ndiwa
Bille;Bi
Martin Triste;Katurera
Escamoter;Ugamisi
Avare;Mbahili
Indépendance;Uhuru
Apprêter;Ubanga
Premiers pas;Upushiya
Sacrifice;Fidiya
Offrande;Swadaka
S’organiser;Upanga
Auteur;Utrunga
Groupe;Shirika
Urticaire;Mbarari
Hématome;Utsowa
Séquelle;Shifeli
Vicieux;Ushonga
Fouet;Karavashi
Cravache;Karavashi
Africain;Mrima
Humanité;Ubinadamou
Chair de poule;Ussussuwa Mwili
Embouteillage;M’lahatra
Essayer;Oudjerebou
Sarbakane;Popo
Coque de Lambi;Djudju
Évoquer;Udukuru
Officiel;Urasmi
Délaisser;Upuka
Champignon;Mwavule wa djinn
Côtoyer;Upatana
Prétexte;Shisa
Rogue à lèvre;Mlalaa
Bizarre;Shinamna
Sauterelle;Dantra
Malheur;M’suiba
Brosse à dent;M’souwaki
Plume;Kalam
Encre;Ngongo
Doucement;Taratibou
Rape coco;Mbouzi ya nadzi
Rape coco;Mho
Angoisse;Harara
Secret;Siri
Lentement;Pole pole
Marché;Bazar
Avion;Roplane
Aéroport;Shandza ya roplane
Avion;Ndregue
Âne;Pundra
Dine;Kulu kulu
Cheval;Farasi
Coeur;Roho
Ventre;Mimba
Poisson;Fi
Noble;N’gawana
Honorable;Ungwana
Naso;Puju
Semer;Utuma
Planter;Outabou
Jacque;Fénéssi
Fruit à pain;Frampé
Espérer;Utama
Contraire;Kiniyume
Poil à gratter;Shtsangu
Lune;Mwézi
Soleil;Joi
Commissionner;Uruma
Langue;Luha
Patienter;Ugodjeya
Échelle;Ulingo
Folklore;Kitabi Koko
Troubler;Ubayibissa
Maki;Comba
Masser;Uhandra
Bénéction;Radih
Gorille;Djakwe
Hypocrite;M’zandik
Encens;Undi
Maraboutage;Ugangui
Critiquer;Utowa manani
Ami;Mwandzani
Tranquille;Makini
Tombe;Kaburi
Polygamie;Whuili
Artisanat;Rasul mali
Poulpe;Pwedza
La bonite;Pwere
Bigorneau;Trondro
Page;Shkadre
Mécréant;Kafiri
Livre;Shiyo
Dauphin;Fu’mbadruju
Volcan;Dzaha
Éléphant;Ndovu
Jamblon;Zambarao
Se promener;Utembeya
Pomme cannelle;Konokono
Batard;Mwana Haram
Scolopendre;Trambwi
Taro dachine;Jimbi
Pain de singe;Buyu
Capitaine;Nahuda
Ananas;Nanas
Encourager;Utriya Shime
Tarif;Kima
Médias;Ma Tranguizi Habari
Machette;M’pangua
Prestige;Usheo
Plante du pied;Karo
Banance verte;Trovi
Manioc;Mhogo
Catholique;M’naswara
Papillon;Pela-pelaka
Comportement;Dihabi
Hérisson;Landra
Coco à boire;Shijavu
Haricot;Kundre
